date,weekday,daytime,season,weather_conditions,light_conditions,road_surface_conditions,road_type,speed_limit,number_of_vehicles,urban_or_rural_area,IMD_Decile,IncScore,EmpScore,HDDScore,EduScore,CriScore,EnvScore,severity_numeric,severity_binary
2017-07-21,Fri,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.128,0.065,-0.608,15.014,-0.146,19.941,4,Not Severe
2017-01-18,Wed,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights unlit,Dry,Single carriageway,30,2,Urban,6,0.078,0.057,-1.07,3.412,0.096,66.01,2,Not Severe
2017-08-04,Fri,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,8,0.062,0.054,-0.592,9.861,-0.256,21.527,5,Not Severe
2017-07-27,Thu,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,One way street,20,2,Urban,3,0.2,0.113,0.391,4.066,0.507,30.972,4,Not Severe
2017-01-22,Sun,office hours (10-16),Winter,Fine no high winds,Daylight,Wet or damp,Dual carriageway,30,2,Urban,3,0.214,0.115,-0.35,17.791,0.756,26.611,3,Not Severe
2017-09-27,Wed,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,5,0.148,0.098,-0.711,16.596,-0.074,17.754,4,Not Severe
2017-03-09,Thu,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,5,0.148,0.098,-0.711,16.596,-0.074,17.754,4,Not Severe
2017-10-11,Wed,evening (19-23),Autumn,Raining no high winds,Darkness - lights unlit,Wet or damp,Roundabout,20,2,Urban,4,0.134,0.126,-0.447,6.526,0.936,30.661,3,Not Severe
2017-10-14,Sat,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.131,0.08,-0.061,11.225,0.43,32.091,4,Not Severe
2017-07-20,Thu,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.131,0.08,-0.061,11.225,0.43,32.091,6,Severe
2017-09-07,Thu,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,6,0.066,0.068,-0.231,3.472,0.619,29.837,3,Not Severe
2017-09-19,Tue,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.206,0.132,0.27,18.573,0.316,29.503,5,Not Severe
2017-05-24,Wed,evening (19-23),Spring,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,3,0.206,0.132,0.27,18.573,0.316,29.503,3,Not Severe
2017-02-06,Mon,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,3,0.214,0.115,-0.35,17.791,0.756,26.611,5,Not Severe
2017-05-16,Tue,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,3,0.206,0.132,0.27,18.573,0.316,29.503,6,Severe
2017-08-04,Fri,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,6,0.111,0.065,-0.536,13.01,-0.651,37.274,3,Not Severe
2017-04-09,Sun,night (23-7),Spring,Fine no high winds,Darkness - lights lit,Dry,One way street,30,2,Urban,6,0.111,0.065,-0.536,13.01,-0.651,37.274,3,Not Severe
2017-01-05,Thu,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,6,0.111,0.065,-0.536,13.01,-0.651,37.274,4,Not Severe
2017-10-11,Wed,evening (19-23),Autumn,Raining no high winds,Darkness - lights lit,Wet or damp,Roundabout,30,2,Urban,4,0.162,0.071,-0.242,11.485,0.32,20.808,5,Not Severe
2017-10-09,Mon,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.162,0.071,-0.242,11.485,0.32,20.808,5,Not Severe
2017-12-22,Fri,evening (19-23),Winter,Fine no high winds,Darkness - lights lit,Wet or damp,Dual carriageway,30,2,Urban,8,0.063,0.044,-0.709,0.933,-0.757,35.265,3,Not Severe
2017-09-17,Sun,evening (19-23),Autumn,Raining no high winds,Darkness - lights lit,Wet or damp,Single carriageway,30,2,Urban,8,0.063,0.044,-0.709,0.933,-0.757,35.265,5,Not Severe
2017-04-06,Thu,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,8,0.063,0.044,-0.709,0.933,-0.757,35.265,3,Not Severe
2017-11-18,Sat,night (23-7),Autumn,Raining no high winds,Daylight,Wet or damp,Single carriageway,30,2,Urban,5,0.114,0.053,0.3,7.119,0.201,47.215,6,Severe
2017-11-18,Sat,office hours (10-16),Autumn,Raining no high winds,Daylight,Wet or damp,Single carriageway,20,2,Urban,5,0.114,0.053,0.3,7.119,0.201,47.215,4,Not Severe
2017-04-15,Sat,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,5,0.114,0.053,0.3,7.119,0.201,47.215,5,Not Severe
2017-11-01,Wed,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,2,0.248,0.182,0.828,11.597,0.356,44.184,4,Not Severe
2017-01-18,Wed,evening (19-23),Winter,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,1,Urban,3,0.206,0.132,0.27,18.573,0.316,29.503,5,Not Severe
2017-06-23,Fri,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,3,0.214,0.115,-0.35,17.791,0.756,26.611,5,Not Severe
2017-06-26,Mon,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Dual carriageway,30,1,Urban,3,0.214,0.115,-0.35,17.791,0.756,26.611,6,Severe
2017-10-09,Mon,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Wet or damp,Dual carriageway,30,2,Urban,3,0.214,0.115,-0.35,17.791,0.756,26.611,4,Not Severe
2017-07-12,Wed,evening (19-23),Summer,Fine no high winds,Daylight,Dry,One way street,30,4,Urban,4,0.142,0.103,-1.034,4.649,0.008,36.53,5,Not Severe
2017-03-30,Thu,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.142,0.103,-1.034,4.649,0.008,36.53,3,Not Severe
2017-03-29,Wed,night (23-7),Spring,Fine no high winds,Darkness - lights lit,Dry,One way street,30,2,Urban,4,0.142,0.103,-1.034,4.649,0.008,36.53,6,Severe
2017-12-18,Mon,morning rush (7-10),Winter,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,5,0.108,0.044,-0.246,5.062,1.053,36.588,4,Not Severe
2017-02-27,Mon,afternoon rush (16-19),Winter,Raining no high winds,Darkness - lights lit,Wet or damp,Single carriageway,30,2,Urban,5,0.108,0.044,-0.246,5.062,1.053,36.588,6,Severe
2017-12-07,Thu,morning rush (7-10),Winter,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,5,0.125,0.063,-0.248,3.919,0.899,33.847,5,Not Severe
2017-02-13,Mon,evening (19-23),Winter,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,5,0.125,0.063,-0.248,3.919,0.899,33.847,3,Not Severe
2017-05-31,Wed,evening (19-23),Spring,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,3,0.232,0.139,0.414,12.247,0.416,24.352,2,Not Severe
2017-09-14,Thu,night (23-7),Autumn,Fine no high winds,Daylight,Dry,One way street,20,2,Urban,2,0.291,0.16,0.194,22.175,0.479,26.727,4,Not Severe
2017-06-20,Tue,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,One way street,30,1,Urban,3,0.182,0.092,0.175,15.818,1.622,35.958,6,Severe
2017-01-24,Tue,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Wet or damp,Single carriageway,30,2,Urban,10,0.047,0.038,-1.819,1.06,-0.799,29.794,5,Not Severe
2017-01-31,Tue,afternoon rush (16-19),Winter,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,10,0.054,0.034,-1.358,0.986,-0.275,23.738,4,Not Severe
2017-11-22,Wed,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.189,0.121,-0.041,21.86,0.649,42.307,4,Not Severe
2017-07-25,Tue,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.189,0.121,-0.041,21.86,0.649,42.307,4,Not Severe
2017-06-20,Tue,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,3,0.189,0.121,-0.041,21.86,0.649,42.307,6,Severe
2017-04-14,Fri,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,2,0.221,0.143,0.258,26.116,1.312,35.137,5,Not Severe
2017-01-06,Fri,evening (19-23),Winter,Raining no high winds,Darkness - lights lit,Wet or damp,Single carriageway,20,2,Urban,2,0.221,0.143,0.258,26.116,1.312,35.137,4,Not Severe
2017-07-08,Sat,evening (19-23),Summer,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,1,0.243,0.19,0.61,34.907,0.622,34.449,5,Not Severe
2017-04-11,Tue,evening (19-23),Spring,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,4,0.159,0.103,0.331,1.671,0.499,37.95,4,Not Severe
2017-03-24,Fri,evening (19-23),Spring,Fine no high winds,Darkness - lights lit,Dry,Dual carriageway,20,2,Urban,4,0.159,0.103,0.331,1.671,0.499,37.95,5,Not Severe
2017-01-21,Sat,afternoon rush (16-19),Winter,Fine no high winds,Darkness,Dry,Single carriageway,30,2,Urban,4,0.159,0.103,0.331,1.671,0.499,37.95,3,Not Severe
2017-10-10,Tue,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.177,0.108,0.566,18.497,0.505,43.765,5,Not Severe
2017-11-02,Thu,morning rush (7-10),Autumn,Fine no high winds,Daylight,Wet or damp,Single carriageway,30,2,Urban,3,0.167,0.116,0.716,14.381,0.534,22.667,5,Not Severe
2017-10-02,Mon,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.167,0.116,0.716,14.381,0.534,22.667,4,Not Severe
2017-10-09,Mon,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,2,0.248,0.182,0.828,11.597,0.356,44.184,2,Not Severe
2017-09-28,Thu,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,2,0.248,0.182,0.828,11.597,0.356,44.184,4,Not Severe
2017-05-05,Fri,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,2,0.248,0.182,0.828,11.597,0.356,44.184,4,Not Severe
2017-11-15,Wed,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Dual carriageway,30,2,Urban,3,0.208,0.147,-0.125,7.493,-0.093,34.777,3,Not Severe
2017-06-29,Thu,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.208,0.147,-0.125,7.493,-0.093,34.777,5,Not Severe
2017-03-10,Fri,evening (19-23),Spring,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,3,0.193,0.113,0.075,26.324,0.683,37.542,3,Not Severe
2017-11-28,Tue,morning rush (7-10),Autumn,Fine no high winds,Daylight,Wet or damp,Single carriageway,20,2,Urban,6,0.119,0.061,-0.095,9.592,-0.297,32.335,3,Not Severe
2017-08-11,Fri,office hours (10-16),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,10,0.022,0.022,-1.902,0.596,-0.625,19.935,3,Not Severe
2017-02-27,Mon,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Wet or damp,Single carriageway,20,2,Urban,2,0.291,0.171,0.524,24.836,0.992,26.951,4,Not Severe
2017-09-29,Fri,office hours (10-16),Autumn,Raining no high winds,Daylight,Wet or damp,Single carriageway,30,3,Urban,10,0.006,0.003,-2.34,5.284,-0.855,31.686,5,Not Severe
